cd1,cd2,type,run,path
9a 13a,ABBA060110b,SIII,4,data/9a 13a_ABBA060110b.json
13b 17a,ABBA060114a,SIII,7,data/13b 17a_ABBA060114a.json
13b 17a,ABBA060114b,SIII,6,data/13b 17a_ABBA060114b.json
13b 17a,ABBA060115a,SIII,1,data/13b 17a_ABBA060115a.json
13b 17a,ABBA060115b,SIII,2,data/13b 17a_ABBA060115b.json
13b 17a,ABBA060115c,SI,4,data/13b 17a_ABBA060115c.json
13b 17a,ABBA060116a,SI,1,data/13b 17a_ABBA060116a.json
13b 17a,ABBA060116b,SI,2,data/13b 17a_ABBA060116b.json
13b 17a,ABBA060117a,SI,7,data/13b 17a_ABBA060117a.json
17b 19c,ABBA060117b,SI,6,data/17b 19c_ABBA060117b.json
17b 19c,ABBA060118a,SI,5,data/17b 19c_ABBA060118a.json
17b 19c,ABBA060118b,SI,3,data/17b 19c_ABBA060118b.json
17b 19c,ABBA060119b,SIII,5,data/17b 19c_ABBA060119b.json
17b 19c,ABBA060119c,SIII,3,data/17b 19c_ABBA060119c.json
