image_file,L1,L2,L3,angle
OLYMPUS DIGITAL CAMERA0001.JPG,0.0,0.0,0.0,0.0
OLYMPUS DIGITAL CAMERA0002.JPG,0.0,0.0,0.0,0.0
OLYMPUS DIGITAL CAMERA0003.JPG,4.525265693664551,3.0949127674102783,2.0744974613189697,84.2504650861803
OLYMPUS DIGITAL CAMERA0004.JPG,7.861316680908203,4.083227157592773,3.6238019466400146,87.67699877095528
OLYMPUS DIGITAL CAMERA0005.JPG,8.475132942199707,4.559881210327148,4.218387603759766,96.85402626178771
OLYMPUS DIGITAL CAMERA0006.JPG,9.652042388916016,4.58044958114624,5.112222194671631,101.74588433352949
OLYMPUS DIGITAL CAMERA0007.JPG,10.831583976745605,6.137149333953857,4.817724227905273,95.00994820543174
OLYMPUS DIGITAL CAMERA0008.JPG,11.115350723266602,6.2359418869018555,5.870551109313965,92.03013522096659
OLYMPUS DIGITAL CAMERA0009.JPG,11.771974563598633,6.239294528961182,6.264557361602783,95.04460557457325
OLYMPUS DIGITAL CAMERA0010.JPG,12.5865478515625,6.718389511108398,6.7896528244018555,92.13763624245048
OLYMPUS DIGITAL CAMERA0011.JPG,13.215703010559082,7.596731185913086,6.634183406829834,90.46905300583734
OLYMPUS DIGITAL CAMERA0012.JPG,13.37549114227295,7.920287132263184,6.93156623840332,90.48477461827055
OLYMPUS DIGITAL CAMERA0013.JPG,13.654714584350586,8.194936752319336,7.0922088623046875,92.95735759163387
OLYMPUS DIGITAL CAMERA0014.JPG,14.083151817321777,8.368159294128418,7.835919380187988,90.69276817591395
OLYMPUS DIGITAL CAMERA0015.JPG,14.943345069885254,8.524770736694336,7.991682052612305,92.71316417037464
OLYMPUS DIGITAL CAMERA0016.JPG,14.79850959777832,8.7429780960083,8.507711410522461,92.18104389084004
OLYMPUS DIGITAL CAMERA0017.JPG,15.50486946105957,9.280033111572266,8.6688814163208,90.31769701826397
OLYMPUS DIGITAL CAMERA0018.JPG,15.728227615356445,9.347990989685059,8.593274116516113,93.24232842721563
OLYMPUS DIGITAL CAMERA0019.JPG,16.199859619140625,9.888484001159668,9.36258602142334,89.24079521357734
OLYMPUS DIGITAL CAMERA0020.JPG,15.96737003326416,10.258233070373535,9.417984962463379,91.84077387634169
OLYMPUS DIGITAL CAMERA0021.JPG,16.24224281311035,10.562458038330078,9.791674613952637,91.96763275769594
OLYMPUS DIGITAL CAMERA0022.JPG,16.432729721069336,10.785001754760742,10.015570640563965,93.39997681454543
OLYMPUS DIGITAL CAMERA0023.JPG,16.52134132385254,10.799915313720703,10.770618438720703,91.36833232353872
OLYMPUS DIGITAL CAMERA0024.JPG,16.752758026123047,11.41783332824707,10.850592613220215,91.58056429210255
OLYMPUS DIGITAL CAMERA0025.JPG,17.07964324951172,11.598445892333984,11.30661392211914,90.54265677072014
OLYMPUS DIGITAL CAMERA0026.JPG,17.14327049255371,11.872367858886719,11.60315990447998,91.01185344720973
OLYMPUS DIGITAL CAMERA0027.JPG,17.141244888305664,12.407654762268066,11.460892677307129,89.82836267899947
OLYMPUS DIGITAL CAMERA0028.JPG,17.23214340209961,12.469600677490234,12.37239933013916,90.49487737086082
OLYMPUS DIGITAL CAMERA0029.JPG,17.355918884277344,13.062784194946289,12.229430198669434,90.25673561048296
OLYMPUS DIGITAL CAMERA0030.JPG,17.355459213256836,12.914605140686035,12.134705543518066,93.55746513605241
OLYMPUS DIGITAL CAMERA0031.JPG,17.646350860595703,13.754556655883789,12.213871002197266,91.85773972426271
OLYMPUS DIGITAL CAMERA0032.JPG,17.457748413085938,13.527689933776855,12.884797096252441,93.04212369775422
OLYMPUS DIGITAL CAMERA0033.JPG,17.68069839477539,13.914463996887207,13.102896690368652,91.55299406430754
OLYMPUS DIGITAL CAMERA0034.JPG,17.79867935180664,14.2138090133667,13.337864875793457,91.6497386937078
OLYMPUS DIGITAL CAMERA0035.JPG,17.811723709106445,14.65573787689209,13.253259658813477,91.8501205019525
OLYMPUS DIGITAL CAMERA0036.JPG,17.936159133911133,14.960528373718262,13.407480239868164,91.04683211554419
OLYMPUS DIGITAL CAMERA0037.JPG,18.061325073242188,14.976447105407715,13.70964241027832,90.41231622557895
OLYMPUS DIGITAL CAMERA0038.JPG,18.293806076049805,15.421621322631836,13.721304893493652,90.79724706045361
OLYMPUS DIGITAL CAMERA0039.JPG,18.385812759399414,15.491235733032227,13.720380783081055,93.93177061214055
OLYMPUS DIGITAL CAMERA0040.JPG,18.634458541870117,16.026371002197266,14.339583396911621,90.29795724644958
OLYMPUS DIGITAL CAMERA0041.JPG,19.082664489746094,16.167875289916992,14.395610809326172,92.7748716220026
OLYMPUS DIGITAL CAMERA0042.JPG,19.143951416015625,16.55291175842285,14.405843734741211,93.39658285936956
OLYMPUS DIGITAL CAMERA0043.JPG,19.319101333618164,16.485023498535156,14.78475570678711,95.05225603680177
OLYMPUS DIGITAL CAMERA0044.JPG,19.615215301513672,17.024187088012695,14.033308029174805,98.78874585245741
OLYMPUS DIGITAL CAMERA0045.JPG,19.583181381225586,17.09330177307129,14.40234088897705,97.99602311060563
OLYMPUS DIGITAL CAMERA0046.JPG,19.951414108276367,17.61155891418457,14.636688232421875,96.56761100116918
OLYMPUS DIGITAL CAMERA0047.JPG,20.047855377197266,17.837474822998047,15.237763404846191,94.2321143355545
OLYMPUS DIGITAL CAMERA0048.JPG,20.342233657836914,18.132253646850586,14.934865951538086,93.82629624163683
OLYMPUS DIGITAL CAMERA0049.JPG,20.478321075439453,18.136756896972656,14.939903259277344,94.5056555340697
OLYMPUS DIGITAL CAMERA0050.JPG,20.75017738342285,18.072864532470703,15.84476375579834,92.72037620497007
OLYMPUS DIGITAL CAMERA0051.JPG,20.705991744995117,18.1575927734375,15.096806526184082,96.91759616559834
OLYMPUS DIGITAL CAMERA0052.JPG,20.84234046936035,18.526063919067383,15.692963600158691,94.74871815180015
OLYMPUS DIGITAL CAMERA0053.JPG,20.726511001586914,18.3877010345459,15.612052917480469,96.46094122797335
OLYMPUS DIGITAL CAMERA0054.JPG,21.214019775390625,18.53811264038086,15.557703018188477,97.3386334128463
OLYMPUS DIGITAL CAMERA0055.JPG,21.152223587036133,18.606502532958984,16.07400894165039,96.6351495999907
OLYMPUS DIGITAL CAMERA0056.JPG,21.138484954833984,18.36496353149414,16.06968879699707,100.08434392122024
OLYMPUS DIGITAL CAMERA0057.JPG,21.41977882385254,18.66274070739746,16.373472213745117,99.77209984869347
OLYMPUS DIGITAL CAMERA0058.JPG,21.4045467376709,18.809980392456055,16.373472213745117,99.69049765209999
OLYMPUS DIGITAL CAMERA0059.JPG,21.511186599731445,19.104393005371094,16.66558074951172,98.87532657105842
OLYMPUS DIGITAL CAMERA0060.JPG,21.66758918762207,19.409420013427734,16.605485916137695,98.4627413846484
OLYMPUS DIGITAL CAMERA0061.JPG,21.729156494140625,19.390548706054688,16.533933639526367,98.38439833831387
OLYMPUS DIGITAL CAMERA0062.JPG,21.9162540435791,19.50179672241211,16.615293502807617,98.09385853274166
OLYMPUS DIGITAL CAMERA0063.JPG,21.9162540435791,19.433916091918945,16.615293502807617,98.35783273629497
OLYMPUS DIGITAL CAMERA0064.JPG,22.062917709350586,19.62474822998047,16.903881072998047,96.51614939769831
OLYMPUS DIGITAL CAMERA0065.JPG,22.321569442749023,19.776836395263672,17.290205001831055,95.10722229178752
OLYMPUS DIGITAL CAMERA0066.JPG,22.331405639648438,19.929433822631836,17.451923370361328,94.49416075103647
OLYMPUS DIGITAL CAMERA0067.JPG,22.366544723510742,19.614276885986328,18.12050437927246,95.31268149650336
OLYMPUS DIGITAL CAMERA0068.JPG,22.33319091796875,19.767053604125977,18.331645965576172,96.32281196299397
OLYMPUS DIGITAL CAMERA0069.JPG,22.444515228271484,20.063495635986328,17.272605895996094,99.37948576064855
OLYMPUS DIGITAL CAMERA0070.JPG,22.474409103393555,20.482240676879883,17.94320297241211,97.80360393213223
OLYMPUS DIGITAL CAMERA0071.JPG,22.919557571411133,20.5508975982666,17.810623168945312,98.62369121939628
OLYMPUS DIGITAL CAMERA0072.JPG,23.249042510986328,20.70269775390625,18.356170654296875,96.74664084520128
OLYMPUS DIGITAL CAMERA0073.JPG,23.886850357055664,20.534900665283203,18.948259353637695,95.80409106442987
OLYMPUS DIGITAL CAMERA0074.JPG,23.471372604370117,20.78951644897461,18.558719635009766,97.0108739942522
OLYMPUS DIGITAL CAMERA0075.JPG,24.048837661743164,20.774837493896484,18.874971389770508,95.66897576765341
OLYMPUS DIGITAL CAMERA0076.JPG,23.66815948486328,20.62982177734375,17.985193252563477,99.75860681880512
OLYMPUS DIGITAL CAMERA0077.JPG,24.093727111816406,20.778581619262695,18.459774017333984,98.64715423227379
OLYMPUS DIGITAL CAMERA0078.JPG,23.848905563354492,20.705541610717773,18.297019958496094,100.32189381698572
OLYMPUS DIGITAL CAMERA0079.JPG,24.292200088500977,21.02224349975586,18.6783447265625,100.63421749672905
OLYMPUS DIGITAL CAMERA0080.JPG,23.759946823120117,20.970359802246094,18.675519943237305,103.10747233697161
OLYMPUS DIGITAL CAMERA0081.JPG,24.197837829589844,21.100360870361328,19.505096435546875,100.20496659580876
OLYMPUS DIGITAL CAMERA0082.JPG,24.378028869628906,21.424283981323242,19.119915008544922,101.26292905476267
OLYMPUS DIGITAL CAMERA0083.JPG,24.369901657104492,21.77739143371582,19.423505783081055,99.46738287535817
OLYMPUS DIGITAL CAMERA0084.JPG,24.214031219482422,21.650493621826172,18.982149124145508,101.89273751740856
OLYMPUS DIGITAL CAMERA0085.JPG,24.612045288085938,22.014949798583984,19.132781982421875,100.56090770999506
OLYMPUS DIGITAL CAMERA0086.JPG,24.341299057006836,21.4160099029541,19.606210708618164,101.09882850739392
